repeat,payload,budget_objective,budget,optimized_objective,achieved
1,3.0,JT,0.4649866624914809,JE,1.6000324163707926
1,1.0,JE,1.6000324163707926,JT,0.6554610926772527
1,2.0,JE,1.6000324163707926,JT,0.6554610926772527
1,3.0,JE,1.6000324163707926,JT,0.4649866624914809
1,1.0,JE,1.830685296895477,JT,0.6554610926772527
1,2.0,JE,1.830685296895477,JT,0.6554610926772527
1,3.0,JE,1.830685296895477,JT,0.4649866624914809
1,1.0,JE,2.0613381774201613,JT,0.6554610926772527
1,2.0,JE,2.0613381774201613,JT,0.6554610926772527
1,3.0,JE,2.0613381774201613,JT,0.4649866624914809
1,1.0,JE,2.2919910579448453,JT,0.6554610926772527
1,2.0,JE,2.2919910579448453,JT,0.6554610926772527
1,3.0,JE,2.2919910579448453,JT,0.4205501464437361
1,1.0,JE,2.5226439384695296,JT,0.0031013875027958
1,2.0,JE,2.5226439384695296,JT,0.6554610926772527
1,3.0,JE,2.5226439384695296,JT,0.4205501464437361
2,1.0,JT,0.0046968063255104,JE,2.512026475320286
2,2.0,JT,0.0046968063255104,JE,5.606717187383309
2,3.0,JT,0.0046968063255104,JE,9.672603264783657
2,1.0,JT,0.1296548523678109,JE,2.427354853421339
2,2.0,JT,0.1296548523678109,JE,5.227457248961805
2,3.0,JT,0.1296548523678109,JE,7.3963400368310115
2,1.0,JT,0.2546128984101114,JE,2.427354853421339
2,2.0,JT,0.2546128984101114,JE,3.3373695981136784
2,3.0,JT,0.2546128984101114,JE,5.90196012449582
2,1.0,JT,0.3795709444524119,JE,2.427354853421339
2,2.0,JT,0.3795709444524119,JE,3.3373695981136784
2,3.0,JT,0.3795709444524119,JE,3.9848655185983137
2,1.0,JT,0.5045289904947124,JE,2.427354853421339
2,2.0,JT,0.5045289904947124,JE,0.5330633734457109
2,3.0,JT,0.5045289904947124,JE,3.9848655185983137
2,1.0,JE,0.5330633734457109,JT,0.6554610926772527
2,2.0,JE,0.5330633734457109,JT,0.5045289904947124
2,3.0,JE,0.5330633734457109,JT,0.5915375343596517
2,1.0,JE,1.0305657263955594,JT,0.6554610926772527
2,2.0,JE,1.0305657263955594,JT,0.5045289904947124
2,3.0,JE,1.0305657263955594,JT,0.5915375343596517
2,1.0,JE,1.5280680793454078,JT,0.6554610926772527
2,2.0,JE,1.5280680793454078,JT,0.5045289904947124
2,3.0,JE,1.5280680793454078,JT,0.5915375343596517
2,1.0,JE,2.0255704322952566,JT,0.6554610926772527
2,2.0,JE,2.0255704322952566,JT,0.5045289904947124
2,3.0,JE,2.0255704322952566,JT,0.5915375343596517
2,1.0,JE,2.523072785245105,JT,0.003098415976565
2,2.0,JE,2.523072785245105,JT,0.5045289904947124
2,3.0,JE,2.523072785245105,JT,0.5915375343596517
3,1.0,JT,0.0038458710582955,JE,2.514588560932572
3,2.0,JT,0.0038458710582955,JE,5.612026937467112
3,3.0,JT,0.0038458710582955,JE,9.691820398061289
3,1.0,JT,0.010498644657356726,JE,2.4775678710745166
3,2.0,JT,0.010498644657356726,JE,5.530534239353973
3,3.0,JT,0.010498644657356726,JE,9.627182669819414
3,1.0,JT,0.01715141825641795,JE,2.4546706243742755
3,2.0,JT,0.01715141825641795,JE,5.472272950741765
3,3.0,JT,0.01715141825641795,JE,9.466113102089825
3,1.0,JT,0.023804191855479176,JE,2.4546706243742755
3,2.0,JT,0.023804191855479176,JE,5.472272950741765
3,3.0,JT,0.023804191855479176,JE,9.362075897871616
3,1.0,JT,0.0304569654545404,JE,2.4191100860192463
3,2.0,JT,0.0304569654545404,JE,5.364594590315657
3,3.0,JT,0.0304569654545404,JE,9.246015812990798
4,1.0,JT,0.0039097290806414,JE,2.5135127530199135
4,2.0,JT,0.0039097290806414,JE,5.610122025587205
4,3.0,JT,0.0039097290806414,JE,9.689544733973188
4,1.0,JT,0.05809688361631392,JE,2.473731885329724
4,2.0,JT,0.05809688361631392,JE,5.445171404166649
4,3.0,JT,0.05809688361631392,JE,8.710678886426226
4,1.0,JT,0.11228403815198644,JE,2.473731885329724
4,2.0,JT,0.11228403815198644,JE,5.010949228945991
4,3.0,JT,0.11228403815198644,JE,8.710678886426226
4,1.0,JT,0.16647119268765898,JE,2.473731885329724
4,2.0,JT,0.16647119268765898,JE,4.4175321109558245
4,3.0,JT,0.16647119268765898,JE,8.710678886426226
