controller_id,kp,ki,kd,repeat,phase,payload,parameter_status,JT,JE,JT_std,JE_std,JT_sem2,JE_sem2,feasible,numerical_failure,constraint_margin,max_current,saturation_fraction,terminal_error,n_rollouts,violation,role,practical_satisfied,practical_JT_max,nominal_selection_JT,nominal_selection_JE,selection_status,delta_JT,delta_JT_pct,delta_JE,delta_JE_pct
r1_p1_c0017,65.53073092449537,0.0,0.0,1,test,1.0,CANONICAL FINAL | simulation,0.0174054869595622,2.447146616544561,2.737079259244802e-06,0.0001613221170823,7.491602871388074e-13,2.602482545991656e-09,True,False,-0.6688770372606245,0.9149494015228596,0.0,0.0069736824374046,10,,CE,True,0.05,0.0174117875569572,2.4471368698971987,ok,0.0,0.0,0.0,0.0
r1_p1_c0014,400.0,200.0,0.0,1,test,2.0,CANONICAL FINAL | simulation,0.0017192394217423,5.6941713785588774,3.5908506240303863e-06,0.0023365322632269,1.2894208204099417e-12,5.459383017100678e-07,True,False,-0.3922306282612721,2.333834387476715,0.0,-0.00088038585479,10,,CT,True,0.05,0.0015508860059188,2.5991961971980073,ok,0.0001715712375134,11.085789529161088,3.09594036138809,119.15570020248845
r1_p1_c0036,0.0,200.0,0.0,1,test,2.0,CANONICAL FINAL | simulation,0.0041844754356461,5.577946581920857,5.2226111849930045e-05,0.0015797230039264,2.7275667589614036e-10,2.495524769134256e-07,True,False,-0.6190492857811103,1.4628507426005366,0.0,0.0037931272497579,10,,CB,True,0.05,0.0040142130659466,2.486597685717744,ok,0.0001845865933788,4.614793076954228,3.091412225959318,124.32614166571102
r1_p1_c0017,65.53073092449537,0.0,0.0,1,test,2.0,CANONICAL FINAL | simulation,0.0203533797881603,5.419110666142018,2.7807338288193098e-06,0.0002880802800818,7.732480626740099e-13,8.299024777201538e-09,True,False,-0.6004566107437674,1.534246614743933,0.0,0.0124620726170261,10,,CE,True,0.05,0.0174117875569572,2.4471368698971987,ok,0.002947892828598,16.93657198702254,2.971964049597457,121.44609683395078
r1_p1_c0014,400.0,200.0,0.0,1,test,3.0,CANONICAL FINAL | simulation,0.0019224241367353,9.780715315183354,3.239565940765718e-06,0.0026319531598253,1.0494787484569273e-12,6.927177435514769e-07,True,False,-0.2283528081740955,2.963125216611473,0.0,-0.0006130166480229,10,,CT,True,0.05,0.0015508860059188,2.5991961971980073,ok,0.0003747559525064,24.214231210879017,7.182484298012566,276.43747805895913
r1_p1_c0036,0.0,200.0,0.0,1,test,3.0,CANONICAL FINAL | simulation,0.0044104825665657,9.6622723506619,5.393704837446835e-05,0.0024361229191838,2.9092051873497393e-10,5.934694877372762e-07,True,False,-0.4508801886215071,2.1086200756934126,0.0,0.004316977386694,10,,CB,True,0.05,0.0040142130659466,2.486597685717744,ok,0.0004105937242983,10.265128369558465,7.175737994700362,288.5839070550672
r1_p1_c0017,65.53073092449537,0.0,0.0,1,test,3.0,CANONICAL FINAL | simulation,0.0234225252624714,9.286254415468296,2.855797556064939e-06,0.0004233523499781,8.15557968122648e-13,1.7922721223199526e-08,True,False,-0.4365434534075145,2.163673138915144,0.0,0.0179147488032186,10,,CE,True,0.05,0.0174117875569572,2.4471368698971987,ok,0.0060170383029092,34.56977858125107,6.8391077989237345,279.4727439985082
r2_p1_c0033,400.0,161.48688534691058,0.0,2,test,1.0,CANONICAL FINAL | simulation,0.0016770830171518,2.5965457363836033,4.921506921019531e-06,0.0020203087472747,2.4221230373643144e-12,4.081647434314954e-07,True,False,-0.589252573081316,1.5772701193677467,0.0,-0.0011175630837023,10,,CT,True,0.05,0.0016772790674993,2.5994416243246143,ok,0.0,0.0,0.0,0.0
r2_p1_c0032,64.4925345672687,200.0,0.0,2,test,1.0,CANONICAL FINAL | simulation,0.0031467187449737,2.5022002961410545,5.350985576669061e-06,0.000102384953435,2.8633046641720317e-12,1.0482678689899851e-09,True,False,-0.665843854862703,0.9184715437254763,0.0,-0.0019938523041581,10,,CB,True,0.05,0.0031447226333885,2.5023876875566864,ok,0.0,0.0,0.0,0.0
r2_p1_c0022,110.34109831588252,0.0,1.0259894209802027,2,test,1.0,CANONICAL FINAL | simulation,0.0127166372773363,2.4766339152673265,5.383607349620476e-06,0.0003825262624009,2.898322809488761e-12,1.4632634142647145e-08,True,False,-0.6679781688214633,1.1003461824589724,0.0,0.0041621827300871,10,,CE,True,0.05,0.0127172565922535,2.477213891586799,ok,0.0,0.0,0.0,0.0
